Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Correct Answer,Time in seconds
"Cơ cấu xã hội được định nghĩa là gì?",Multiple Choice,"Tổng thể các giai cấp và tầng lớp tồn tại trong một chế độ xã hội.","Mối liên hệ vững chắc của các thành tố trong hệ thống xã hội.","Hệ thống các chính sách phát triển kinh tế - xã hội của Nhà nước.","Tập hợp các cộng đồng dân cư theo địa giới hành chính.",2,20
"Yếu tố nào là căn cứ cơ bản để xây dựng chính sách phát triển kinh tế, văn hóa, xã hội trong từng giai đoạn lịch sử cụ thể?",Multiple Choice,"Cơ cấu xã hội – dân cư.","Cơ cấu xã hội – nghề nghiệp.","Cơ cấu xã hội – giai cấp.","Cơ cấu xã hội – tôn giáo.",3,20
"Cơ cấu xã hội – giai cấp là tổng thể các giai cấp, tầng lớp xã hội tồn tại khách quan thông qua những mối quan hệ nào?",Multiple Choice,"Mối quan hệ về sở hữu tư liệu sản xuất, tổ chức quản lý sản xuất và địa vị chính trị – xã hội.","Mối quan hệ về thu nhập, mức sống và hoàn cảnh gia đình.","Mối quan hệ về địa lý cư trú, ngôn ngữ và tập quán sinh hoạt.","Mối quan hệ về trình độ chuyên môn và bằng cấp giáo dục.",1,20
"Xu hướng biến đổi chủ yếu của cơ cấu xã hội – giai cấp trong thời kỳ quá độ lên chủ nghĩa xã hội là gì?",Multiple Choice,"Sự phân hóa ngày càng sâu sắc giữa các tầng lớp xã hội.","Sự xích lại gần nhau từng bước giữa các giai cấp, tầng lớp về mối quan hệ với tư liệu sản xuất.","Sự biến mất ngay lập tức của tất cả các tầng lớp bóc thợ.","Sự cô lập vai trò của giai cấp công nhân đối với các giai cấp khác.",2,20
"Sự biến đổi của cơ cấu xã hội – giai cấp trong thời kỳ quá độ gắn liền và bị quy định bởi yếu tố nào?",Multiple Choice,"Cơ cấu chính trị của nhà nước.","Cơ cấu kinh tế của thời kỳ quá độ lên chủ nghĩa xã hội.","Trình độ phát triển văn hóa và giáo dục.","Tình hình quan hệ quốc tế.",2,20
"Trong thời kỳ quá độ lên chủ nghĩa xã hội, sự biến đổi phức tạp, đa dạng của cơ cấu xã hội – giai cấp làm xuất hiện thêm các tầng lớp xã hội mới nào?",Multiple Choice,"Doanh nhân, tiểu chủ, tầng lớp người giàu có và trung lưu.","Địa chủ, phong kiến, tư sản mại bản.","Tăng ni, phật tử, giáo dân.","Quý tộc, thương gia nước ngoài.",1,20
"Theo C. Mác và Ph. Ăngghen, nguyên nhân chủ yếu khiến các cuộc đấu tranh của công nhân ở Châu Âu cuối thế kỷ XIX thất bại là gì?",Multiple Choice,"Thiếu nguồn tài chính và vũ khí.","Không tổ chức liên minh với ""người bạn đồng minh tự nhiên"" là nông dân.","Bị giai cấp tư sản mua chuộc.","Chưa có tổ chức Đảng Cộng sản lãnh đạo.",2,20
"C. Mác và Ph. Ăngghen đã ví cách mạng vô sản trở thành ""bài ca ai điếu"" khi rơi vào tình cảnh nào?",Multiple Choice,"Bị thất bại trước sự can thiệp của nước ngoài.","Giai cấp công nhân đơn độc do không liên minh với nông dân.","Khối liên minh công nông bị chia rẽ bởi tư sản.","Giai cấp công nhân bị suy giảm về số lượng.",2,20
"V.I. Lênin đã vận dụng và phát triển lý luận liên minh giai cấp để tổ chức khối liên minh công nông trong sự kiện lịch sử nào?",Multiple Choice,"Công xã Pari 1871.","Cách mạng Tháng Mười Nga.","Cách mạng Tư sản Pháp 1789.","Phong trào Hiến chương Anh.",2,20
"Xét dưới góc độ chính trị – xã hội, liên minh giai cấp, tầng lớp được xác định là gì?",Multiple Choice,"Nguyên tắc cao nhất của chuyên chính vô sản.","Giải pháp tình thế trong giai đoạn giành chính quyền.","Sự thỏa thuận tạm thời về mặt lợi ích kinh tế.","Biện pháp duy nhất để quản lý xã hội.",1,20
"Xét dưới góc độ kinh tế, sự cần thiết của liên minh giai cấp, tầng lớp xuất phát từ yêu cầu nào?",Multiple Choice,"Xây dựng nền kinh tế quốc dân thống nhất (nông nghiệp, công nghiệp, dịch vụ) và đẩy mạnh CNH, HĐH.","Tăng cường xuất khẩu tài nguyên thô ra thị trường quốc tế.","Xóa bỏ hoàn toàn thành phần kinh tế tư nhân.","Tập trung phát triển độc tôn ngành công nghiệp nặng.",1,20
"Nhằm thỏa mãn nhu cầu, lợi ích kinh tế của giai cấp công nhân, nông dân, trí thức và các tầng lớp khác là mục tiêu của nội dung liên minh nào?",Multiple Choice,"Nội dung chính trị.","Nội dung kinh tế.","Nội dung văn hóa – xã hội.","Nội dung an ninh – quốc phòng.",2,20
"Nội dung chính trị của khối liên minh giữa giai cấp công nhân với giai cấp nông dân và tầng lớp trí thức tạo cơ sở vững chắc cho điều gì?",Multiple Choice,"Khối đại đoàn kết toàn dân, củng cố nhà nước XHCN và bảo vệ vai trò lãnh đạo của Đảng Cộng sản.","Sự giải thể của các tổ chức xã hội phi chính phủ.","Việc thay thế hoàn toàn nền kinh tế thị trường bằng kinh tế bao cấp.","Sự độc tôn tuyệt đối của giai cấp nông dân trong quản lý nhà nước.",1,20
"Trong nội dung văn hóa – xã hội của liên minh, nhiệm vụ quan trọng đối với công tác tư tưởng là đấu tranh khắc phục các tư tưởng nào?",Multiple Choice,"Tư tưởng tiến bộ và hội nhập.","Tư tưởng lạc hậu, bảo thủ, trì trệ, thói cửa quyền, quan liêu.","Tinh thần tiếp thu giá trị văn hóa nhân loại.","Yêu cầu nâng cao dân trí và pháp luật.",2,20
"Đặc điểm của cơ cấu xã hội – giai cấp ở Việt Nam trong thời kỳ quá độ lên chủ nghĩa xã hội là gì?",Multiple Choice,"Vừa đảm bảo tính quy luật phổ biến, vừa mang tính đặc thù chuyển từ đơn giản sang phức tạp hơn.","Hoàn toàn giống hệt cơ cấu xã hội – giai cấp của các nước tư bản phát triển.","Chỉ bao gồm duy nhất hai giai cấp là công nhân và nông dân.","Không chịu sự chi phối của các biến đổi trong cơ cấu kinh tế.",1,20
"Giai cấp nào ở Việt Nam đóng vai trò là lực lượng lãnh đạo cách mạng và là lực lượng nòng cốt trong khối liên minh?",Multiple Choice,"Giai cấp nông dân.","Tầng lớp trí thức.","Giai cấp công nhân.","Tầng lớp doanh nhân.",3,20
"Đội ngũ doanh nhân ở Việt Nam phát triển nhanh chóng và có vai trò to lớn trong việc gì?",Multiple Choice,"Phát triển kinh tế – xã hội, giải quyết việc làm và tham gia an sinh xã hội.","Lãnh đạo hệ thống chính trị và quản lý nhà nước.","Định hướng phát triển nền văn hóa xã hội chủ nghĩa.","Thay thế giai cấp công nhân làm lực lượng nòng cốt cách mạng.",1,20
"Khái niệm ""Liên minh giai cấp, tầng lớp"" được định nghĩa là gì?",Multiple Choice,"Sự kết hợp, hỗ trợ nhau giữa các giai cấp, tầng lớp nhằm thực hiện nhu cầu, lợi ích và tạo động lực xây dựng CNXH.","Sự hợp nhất tất cả các giai cấp thành một giai cấp duy nhất.","Sự đấu tranh loại trừ lẫn nhau giữa giai cấp công nhân và tư sản.","Thỏa thuận chia sẻ lợi nhuận giữa các tập đoàn kinh tế.",1,20
"Sự phát triển của các nhóm lao động phi truyền thống như freelancer, bán hàng online, tài xế công nghệ, streamer/KOL đang tác động thế nào đến mô hình truyền thống?",Multiple Choice,"Phá vỡ mô hình ""Giai cấp công nhân – Chủ doanh nghiệp"" nhị phân.","Tăng cường tính cố định của quan hệ lao động truyền thống.","Xóa bỏ hoàn toàn nhu cầu sử dụng công nghệ trong lao động.","Biến tất cả người lao động thành công chức nhà nước.",1,20
"Dù tự sở hữu tư liệu sản xuất vi mô (xe máy, kênh bán hàng, thiết bị), người lao động công nghệ thực chất vẫn phụ thuộc vào yếu tố nào?",Multiple Choice,"Thuật toán và chính sách chiết khấu của các nền tảng công nghệ lớn.","Sự quản lý trực tiếp của các cơ quan chính quyền địa phương.","Bằng cấp từ các trường đại học hàn lâm.","Các bản hợp đồng lao động dài hạn truyền thống.",1,20
"Thuật ngữ ""Precariat"" trong phân tích cơ cấu xã hội nền kinh tế số chỉ nhóm đối tượng nào?",Multiple Choice,"Tầng lớp tinh hoa số giàu có.","Tầng lớp ""tiền trung lưu"" bấp bênh, chịu rủi ro cao vì thiếu an sinh xã hội.","Đội ngũ kỹ sư công nghệ có biên chế cố định.","Ban lãnh đạo của các tập đoàn công nghệ lớn.",2,20
"Nhóm nào sau đây thuộc tầng lớp ""Digital Elite"" (tinh hoa số mới)?",Multiple Choice,"Tài xế Grab chạy xe thuê theo giờ.","Người bán hàng online nhỏ lẻ chịu thua lỗ.","Streamer/KOL thành công và high-end freelancer tích lũy tài sản lớn nhanh chóng.","Lao động thủ công trong các làng nghề.",3,20
"Trong ""Nền kinh tế chú ý"" (Attention Economy), tiêu chí định vị địa vị xã hội của nhóm Streamer/KOL dịch chuyển sang yếu tố nào?",Multiple Choice,"Bằng cấp hàn lâm và thâm niên công tác.","""Vốn chú ý"", lượng người theo dõi và khả năng tạo ảnh hưởng.","Chức vụ hành chính trong hệ thống công sở.","Nguồn gốc gia thế và địa vị dòng họ.",2,20
"Sự thành công của các freelancer và người bán hàng online dựa vào khả năng tự học và kỹ năng thực chiến cho thấy xu hướng gì?",Multiple Choice,"Phi chính thống hóa học thức (dịch chuyển từ bằng cấp truyền thống sang kỹ năng thực tế).","Tăng cường vai trò độc tôn của hệ thống bằng cấp giáo dục hàn lâm.","Sự suy giảm nhu cầu học tập trong toàn xã hội.","Bắt buộc mọi lao động phải có bằng tiến sĩ mới thành công.",1,20
"Sự bùng nổ của các nhóm lao động nền tảng (Gig Economy) đặt ra thách thức lớn nào cho quản lý vĩ mô của Nhà nước?",Multiple Choice,"Khủng hoảng mô hình thuế và pháp lý đối với lao động phi định chuẩn.","Tình trạng thừa ngân sách thu từ thuế doanh nghiệp.","Sự biến mất của các giao dịch tiền tệ.","Việc bồi thường bảo hiểm xã hội quá tải cho lao động công sở.",1,20
"Khối liên minh giai cấp, tầng lớp trong thời kỳ quá độ lên CNXH ở Việt Nam gồm mấy nội dung cơ bản?",Multiple Choice,"2 nội dung (Kinh tế, Chính trị).","3 nội dung (Kinh tế, Chính trị, Văn hóa – xã hội).","4 nội dung (Kinh tế, Chính trị, Văn hóa, Tôn giáo).","5 nội dung (Kinh tế, Chính trị, Văn hóa, Quốc phòng, Đối ngoại).",2,20
"Đâu là cơ sở để giai cấp công nhân giữ vững vai trò lãnh đạo xã hội thông qua khối liên minh?",Multiple Choice,"Tập hợp được lực lượng đông đảo nhân dân lao động phấn đấu cho mục tiêu CNXH.","Tự cô lập giai cấp công nhân khỏi các tầng lớp khác.","Sử dụng quyền lực quân sự để áp đặt tư tưởng.","Duy trì mô hình sản xuất nhỏ lẻ, tự cung tự cấp.",1,20
"Trong thời kỳ quá độ lên chủ nghĩa xã hội, cơ cấu xã hội – giai cấp biến đổi trong mối quan hệ nào?",Multiple Choice,"Tách biệt tuyệt đối, không giao thoa.","Vừa đấu tranh vừa liên minh dẫn đến sự xích lại gần nhau.","Xung đột triệt tiêu lẫn nhau.","Hòa tan hoàn toàn không còn ranh giới.",2,20
"Sự dịch chuyển lối sống và cộng đồng trong nền kinh tế số làm giảm sự gắn kết công sở truyền thống và thay bằng điều gì?",Multiple Choice,"Các cộng đồng mạng và hội nhóm nghề nghiệp phi tập trung.","Các đơn vị hành chính khép kín.","Các mô hình hợp tác xã nông nghiệp cũ.","Sự cách ly tuyệt đối giữa những người lao động.",1,20
"Cơ cấu xã hội – giai cấp biến đổi phức tạp, đa dạng trong thời kỳ quá độ do nguyên nhân cốt lõi nào?",Multiple Choice,"Do sự biến đổi của cơ cấu kinh tế nhiều thành phần trong thời kỳ quá độ.","Do tác động duy nhất từ văn hóa ngoại nhập.","Do sự gia tăng dân số tự nhiên.","Do sự thay đổi địa giới hành chính các tỉnh thành.",1,20
